key,en,ar
login_title,Login,تسجيل الدخول
logout_btn,Logout,تسجيل الخروج
email_hint,Enter your email,أدخل بريدك الإلكتروني
password_hint,Enter your password,أدخل كلمة المرور
,Forgot Password?,نسيت كلمة المرور؟
submit_btn,Submit,إرسال
cancel_btn,Cancel,إلغاء
error_required,This field is required,هذا الحقل مطلوب
error_invalid_email,Please enter a valid email,أدخل بريدًا إلكترونيًا صحيحًا
welcome_message,Welcome back!,مرحبًا بعودتك!
home_title,Home,الرئيسية
profile_title,Profile,الملف الشخصي
settings_title,Settings,الإعدادات
notifications_title,Notifications,الإشعارات
no_internet,No internet connection,لا يوجد اتصال بالإنترنت
loading,Loading...,جارٍ التحميل...
success_saved,Saved successfully!,تم الحفظ بنجاح!
